State,PK12ed_realperch,highered_realperch,edservs_realperch,pell_realperch,headstartpriv_realperch,othercashserv_realperch,socsec_realperch,fedSSI_realperch,fedEITC_realperch,CTC_realperch,addCC_realperch,stateEITC_realperch,wcomp_realperch,TANFbasic_realperch,unemp_realperch,Medicaid_CHIP_realperch,pubheath_realperch,other_health_realperch,SNAP_realperch,HCD_realperch,lib_realperch,parkrec_realperch
Alabama,5671.3374,1557.12573,272.92929,374.31308,99.6097,782.54773,416.94006,160.19766,1198.2583,329.98096,389.82965,0,0,22.09424,169,1969.56091,691.62122,8145.31592,478.40729,371.00546,85.78407,284.06473
Alaska,10626.9834,2738.61133,224.19171,179.40157,41.75025,2291.27661,281.57782,43.6157,531.49438,395.76044,230.57816,0,24.96709,201.86821,677,3242.99731,1358.87573,7454.9082,381.96045,1450.1145,183.57344,470.47739
Arizona,4145.81934,1488.84509,27.75798,308.35989,48.44968,1735.96606,247.48407,83.47531,885.71167,335.112,360.5383,0,0,25.98137,162,2299.08984,1654.01685,4618.65332,385.27225,251.03238,98.67426,359.52527
Arkansas,5927.89795,2085.28076,185.37912,367.384,109.7327,755.48871,373.8277,278.84436,1061.10693,327.58649,373.76401,0,19.58919,9.45852,275,3768.104,475.41577,6423.79443,360.21808,225.03853,114.13837,264.88068
California,7165.30029,2777.64697,108.39508,387.57016,70.48239,2152.20972,193.74342,71.21734,748.3963,320.28522,314.84616,20.80152,157.21523,273.74896,561,2229.13989,2077.89551,8182.41699,383.91574,679.88806,141.39482,527.60626
Colorado,6062.12988,1612.76514,126.62196,253.84056,45.64264,959.53265,214.71841,51.82972,596.28619,377.48105,260.01196,53.66576,308.04694,56.24754,411,1687.95044,639.4093,5350.87158,263.37192,598.66132,186.29999,742.06451
Connecticut,10810.37598,1782.01282,380.77048,308.16116,64.53989,1658.55664,257.93857,81.33893,615.42932,314.40857,220.50198,152.31876,33.03225,73.70135,856,1367.6416,1195.50439,7872.69531,303.67065,1127.92188,217.57281,304.23611
Delaware,8438.2207,1417.65491,772.22052,284.59756,73.73216,1491.11011,295.57593,119.52316,818.68085,352.9585,304.83575,137.53839,24.05677,90.31403,349,2497.63281,2185.03101,7149.37646,453.25073,657.00677,154.23686,320.03705
District of Columbia,17657.5332,805.83783,0,311.51675,80.4718,5735.63721,200.54279,240.94325,947.41949,210.73814,322.15936,341.07101,0,767.50836,884,3883.46021,3436.92651,20273.25586,592.17987,5145.69873,399.32617,1454.95203
Florida,5503.66406,1502.00049,341.99753,414.52805,51.73958,702.15149,300.16818,178.03502,1215.60327,312.49936,398.55411,0,12.92278,38.06049,103,1645.77661,1094.3479,5533.48193,480.04553,497.5592,113.06822,565.70825
Georgia,6248.0166,942.24805,333.0361,386.84637,77.4558,556.77716,276.6608,129.37743,1130.99622,292.02957,403.7764,0,0,31.52372,149,1381.39087,834.29407,4173.39844,473.1366,405.20981,55.66294,257.42627
Hawaii,5722.6792,1769.34583,64.6373,247.50496,88.33337,1778.0625,254.48302,32.83893,692.94336,398.2883,271.52509,0,0,131.57193,434,1349.0791,1625.81335,7375.7915,623.81537,662.30103,98.91474,635.9519
Idaho,4201.13721,1206.21594,264.45648,303.42047,42.64674,815.52893,236.72549,84.6341,676.08112,417.34366,310.32352,0,306.18237,17.18328,222,1389.4657,533.83105,4412.59814,272.19644,313.8938,114.21503,280.25699
Illinois,7732.13428,1635.85986,219.30672,309.84045,82.87438,1344.46887,232.91048,96.23806,802.6189,338.77972,309.43225,72.2357,4.05224,17.28876,628,1576.15991,815.46893,4678.84619,405.74823,558.88861,217.60835,698.27289
Indiana,5200.24854,1372.57886,136.26601,280.90759,60.89012,1523.30713,294.49326,108.76372,788.24542,397.61234,296.84659,63.84788,3.86894,11.16447,201,1202.4967,465.39008,7839.77197,303.3985,476.0849,228.77948,267.22281
Iowa,7137.37988,1967.87036,179.54834,250.6837,77.52309,883.3847,220.19827,75.8243,608.87195,430.81641,244.02896,82.19771,8.36456,52.20193,562,1746.97534,565.09052,9625.64258,286.95132,202.29799,171.52917,375.07166
