state,education,financial,health_nutrition,housing,resources,education_rank,financial_rank,health_nutrition_rank,housing_rank,resources_rank,total_spending,total_spending_rank,access
Alabama,7975.3152,3468.8486,11284.90534,371.00546,369.8488,40,36,19,38,47,23469.9234,31,Illegal
Arkansas,8675.67453,3474.66591,11027.53228,225.03853,379.01905,30,34,20,48,46,23781.9303,28,Illegal
Idaho,6017.87684,3086.00247,6608.09133,313.8938,394.47202,51,45,47,43,43,16420.33646,50,Illegal
Kentucky,8574.02218,3782.41521,12647.25991,409.93732,388.80032,32,25,10,32,44,25802.43494,22,Illegal
Louisiana,8501.76147,3374.75101,10428.24579,574.22894,644.71765,33,37,27,21,17,23523.70486,29,Illegal
Mississippi,8486.07787,3544.03741,13385.85101,333.83188,315.43439,34,31,7,40,49,26065.23256,20,Illegal
Missouri,7785.84506,2677.77945,9663.60212,420.66211,557.09585,43,50,30,31,22,21104.98459,40,Illegal
Oklahoma,7011.12129,3596.19988,7879.82617,377.3201,442.20189,47,30,41,37,40,19306.66933,45,Illegal
South Dakota,7443.78243,3255.1169,4806.10431,437.13596,679.17192,44,40,51,30,12,16621.31152,49,Illegal
Tennessee,6818.4231,3472.58598,9330.77655,460.03088,379.66241,48,35,32,28,45,20461.47892,43,Illegal
Texas,8087.69732,3031.10991,7479.17499,228.47623,303.22935,38,46,43,47,51,19129.6878,46,Illegal
West Virginia,10085.70953,4994.39681,11846.56668,326.74384,547.73108,17,8,15,41,23,27801.14794,16,Illegal
Arizona,6019.23198,3836.26878,8957.03226,251.03238,458.19953,50,24,35,46,36,19521.76493,44,Hostile
Georgia,7987.60292,2970.1413,6862.21998,405.20981,313.08921,39,47,46,33,50,18538.26322,48,Hostile
Indiana,7050.89112,3689.14975,9811.05725,476.0849,496.00229,46,26,29,26,31,21523.18531,38,Hostile
Iowa,9613.00537,3167.88879,12224.65976,202.29799,546.60083,25,43,14,49,24,25754.45274,23,Hostile
Michigan,9128.0763,3634.9691,9842.11713,462.83505,443.44957,26,28,28,27,39,23511.44715,30,Hostile
Nebraska,10643.79502,3659.49562,6065.1027,377.43729,481.13727,15,27,49,36,33,21226.9679,39,Hostile
North Carolina,8115.22998,3208.36441,10700.56145,548.10175,424.28752,36,42,24,23,42,22996.54511,33,Hostile
North Dakota,11364.31359,8184.50949,6101.18442,493.15143,1066.2606,10,2,48,25,2,27209.41953,18,Hostile
Ohio,8906.02922,4187.67253,11536.39629,737.00629,527.97626,29,19,17,11,27,25895.08059,21,Hostile
Pennsylvania,11032.32794,4959.1673,11780.05087,605.36627,339.05397,12,9,16,19,48,28715.96635,12,Hostile
South Carolina,8434.9228,3230.61295,12668.20578,377.44119,530.14606,35,41,9,35,26,25241.32878,24,Hostile
Utah,6816.33027,2627.91898,5446.17328,320.74963,491.43081,49,51,50,42,32,15702.60297,51,Hostile
Wisconsin,10029.20239,4188.23126,9489.65592,181.74315,594.54019,18,18,31,50,18,24483.37291,26,Hostile
Wyoming,15969.25861,4952.59615,14298.16015,92.92397,913.9743,2,10,3,51,5,36226.91318,4,Hostile
New Hampshire,11143.17059,2933.64238,7826.32089,750.09869,511.78865,11,48,42,10,30,23165.0212,32,Not Protected
New Mexico,9761.39077,3604.4944,14128.52368,270.38913,587.50657,24,29,4,45,19,28352.30455,14,Not Protected
Virginia,8959.14999,3543.04047,8476.67614,450.93445,586.14723,28,32,39,29,20,22015.94828,35,Not Protected
Alaska,13810.93826,4678.13841,12438.74169,1450.1145,654.05083,5,13,11,3,16,33031.98369,5,Protected
Colorado,8101.00018,3288.82022,7941.60324,598.66132,928.3645,37,38,40,20,3,20858.44946,42,Protected
Delaware,10986.42585,3983.59349,12285.29101,657.00677,474.27391,13,22,12,15,35,28386.59103,13,Protected
District of Columbia,18855.35958,9650.01961,28185.82245,5145.69873,1854.2782,1,1,1,1,1,63691.17857,1,Protected
Florida,7813.92971,3260.9947,8753.65197,497.5592,678.77647,42,39,37,24,13,21004.91205,41,Protected
Hawaii,7892.50066,3993.71313,10974.49932,662.30103,734.86664,41,21,22,14,10,24257.88078,27,Protected
Kansas,8608.71358,3087.41798,8953.31589,355.51102,520.15267,31,44,36,39,29,21525.11114,37,Protected
Maine,10918.52337,6131.395,10543.73087,1004.45117,452.80005,14,3,25,7,38,29050.90046,11,Protected
Maryland,10002.65767,4070.66552,8640.73532,995.81384,884.19362,19,20,38,8,6,24594.06597,25,Protected
Massachusetts,11576.83663,4682.79208,13947.18264,1770.36926,454.51431,9,12,6,2,37,32431.69492,6,Protected
Montana,9115.52678,2707.28552,9151.15955,305.85599,424.43595,27,49,33,44,41,21704.26379,36,Protected
Nevada,7142.35835,3480.35203,7036.02201,397.73166,838.632,45,33,45,34,8,18895.09605,47,Protected
Rhode Island,12454.45392,4414.92367,11015.48313,1204.98352,562.19542,8,15,21,4,21,29652.03966,8,Protected
California,10509.39489,4813.46387,12873.36813,679.88806,669.00108,16,11,8,13,14,29545.11603,9,Expanded Access
Connecticut,13345.86033,4263.22637,10739.51195,1127.92188,521.80892,7,17,23,6,28,29998.32945,7,Expanded Access
Illinois,9980.01569,3846.02498,7476.22326,558.88861,915.88124,20,23,44,22,4,22777.03378,34,Expanded Access
Minnesota,9893.93783,4576.86055,11447.19886,641.86255,842.80175,23,14,18,17,7,27402.66154,17,Expanded Access
New Jersey,13683.05199,4318.30496,9039.59262,618.39783,478.13472,6,16,34,18,34,28137.48212,15,Expanded Access
New York,15252.4292,5549.61943,17512.48132,961.367,665.08909,3,5,2,9,15,39940.98604,2,Expanded Access
Oregon,9937.90079,5382.60971,12262.75919,643.69434,826.26903,21,6,13,16,9,29053.23306,10,Expanded Access
Vermont,14850.62979,5773.40637,13988.77401,1138.73633,541.79161,4,4,5,5,25,36293.33811,3,Expanded Access
Washington,9909.39542,5098.13969,10434.38418,684.47736,732.88306,22,7,26,12,11,26859.27971,19,Expanded Access
